respondent_id,age
,Response
118752452689.0,66
118745041241.0,26
118745035969.0,64
118745035159.0,53
118728905344.0,31
118728041541.0,29
118725909916.0,58
118725489712.0,32
118725204330.0,30
118725167746.0,30
118725152865.0,47
118725110569.0,33
118723447559.0,63
118723237756.0,40
118722584838.0,63
118722351539.0,69
118721763559.0,62
118721723631.0,27
118721622091.0,66
118721620651.0,70
118721595224.0,57
118721556715.0,60
118721543449.0,30
118721499184.0,28
118721456430.0,49
118721400034.0,66
118721395041.0,61
118721391105.0,63
118721337485.0,30
118721331365.0,30
118721328556.0,26
118721197328.0,29
118721153752.0,20
118721125261.0,57
118721006467.0,26
118720956129.0,28
118720912499.0,55
118720905950.0,57
118720902903.0,24
118720900408.0,64
118720897761.0,21
118720897461.0,50
118720895378.0,31
118720891261.0,57
118720890752.0,42
118720890310.0,19
118720887674.0,27
118720887094.0,60
118720882393.0,39
118720881324.0,38
118720881244.0,53
118720880281.0,19
118720878032.0,18
118720876610.0,28
118720875003.0,35
118720874823.0,31
118720874594.0,27
118720874067.0,22
118720873582.0,21
118720873581.0,19
118720873448.0,23
118720872081.0,unter 18
118720872071.0,57
118720869708.0,30
118720869178.0,39
118720868828.0,40
118720617197.0,44
118720359488.0,61
118720304414.0,42
118720210295.0,43
118720095220.0,70
118719940488.0,39
118719844221.0,39
118719800343.0,31
118719787450.0,18
118719777684.0,29
118719751123.0,68
118719745254.0,49
118719744912.0,31
118719740529.0,20
118719740378.0,27
118719731879.0,31
118719723990.0,Ã¼ber 95
118719722284.0,32
118719718843.0,66
118719706439.0,49
118719702607.0,72
118719701032.0,41
118719698162.0,25
118719690366.0,39
118719658084.0,46
118719657490.0,62
118719648913.0,19
118719640453.0,21
118719638341.0,60
118719632641.0,66
118719622185.0,40
118719618428.0,18
118719614056.0,unter 18
118719609522.0,unter 18
118719608146.0,29
118719600879.0,40
118719590338.0,65
118719585877.0,21
118719585430.0,21
118719583858.0,20
118719565260.0,36
118719560234.0,20
118719559146.0,61
118719554786.0,21
118719550176.0,22
118719549032.0,21
118719545936.0,21
118719545213.0,19
118719540468.0,unter 18
118719539315.0,29
118719538617.0,26
118719538578.0,56
118719534721.0,72
118719536194.0,25
118718418410.0,33
118718417818.0,28
118717793319.0,35
